epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,55.4765,0.75062,2.36209,0.29116,1.86333,0.9519,0.01,0.85714,0.49562,0.32607,0.005,0.42857,0.10586,0.049,1.26435,6.84528,0.54666,2.81338,1.37774,0.000386152,0.000386152,0.000386152
28,57.5883,0.77543,2.285,0.33931,1.84823,1.0276,0.01,0.85714,0.49562,0.32607,0.005,0.42857,0.10586,0.049,1.26435,6.84528,0.54666,2.81338,1.37774,0.000395658,0.000395658,0.000395658
29,59.6865,1.09699,1.95083,0.41507,1.90053,0.98483,0.01083,0.92857,0.53662,0.35433,0.00333,0.28571,0.14353,0.05693,1.35733,7.04964,0.52654,2.84792,1.47097,0.000404768,0.000404768,0.000404768
30,61.5926,0.8034,2.35036,0.27387,1.69194,0.96817,0.01083,0.92857,0.53662,0.35433,0.00333,0.28571,0.14353,0.05693,1.35733,7.04964,0.52654,2.84792,1.47097,0.000413482,0.000413482,0.000413482
31,63.6162,1.0991,2.80929,0.31989,1.97736,1.19029,0.01,0.85714,0.50575,0.34256,0.00417,0.35714,0.12198,0.04335,1.40813,7.22403,0.51685,2.86384,1.49841,0.0004218,0.0004218,0.0004218
32,65.599,1.24023,4.00315,0.36083,1.8235,1.04073,0.01,0.85714,0.50575,0.34256,0.00417,0.35714,0.12198,0.04335,1.40813,7.22403,0.51685,2.86384,1.49841,0.000429722,0.000429722,0.000429722
33,67.7027,1.00101,2.45771,0.29019,1.77934,1.0238,0.01,0.85714,0.51688,0.32407,0.00333,0.28571,0.14877,0.05381,1.397,7.215,0.50567,2.84408,1.5131,0.000437248,0.000437248,0.000437248
34,69.8189,1.14525,3.6164,0.36111,1.81571,1.13253,0.01,0.85714,0.51688,0.32407,0.00333,0.28571,0.14877,0.05381,1.397,7.215,0.50567,2.84408,1.5131,0.000444378,0.000444378,0.000444378
35,71.9122,1.01851,3.23609,0.29354,1.77697,1.07604,0.01,0.85714,0.5219,0.32494,0.00333,0.28571,0.15386,0.05451,1.48545,7.27399,0.5092,2.80475,1.6382,0.000451112,0.000451112,0.000451112
36,74.0208,0.9253,2.95136,0.32447,1.6009,1.04428,0.01,0.85714,0.5219,0.32494,0.00333,0.28571,0.15386,0.05451,1.48545,7.27399,0.5092,2.80475,1.6382,0.00045745,0.00045745,0.00045745
37,76.0893,1.3697,4.03355,0.44822,1.95719,1.35253,0.01083,0.92857,0.5004,0.29876,0.00333,0.28571,0.15436,0.06197,1.50709,7.35311,0.53023,2.80743,1.71784,0.000463392,0.000463392,0.000463392
38,78.3743,0.69623,3.10889,0.35697,1.53878,0.9787,0.01083,0.92857,0.5004,0.29876,0.00333,0.28571,0.15436,0.06197,1.50709,7.35311,0.53023,2.80743,1.71784,0.000468938,0.000468938,0.000468938
39,80.431,0.81571,3.06278,0.21207,1.8717,1.09204,0.01,0.85714,0.55991,0.349,0.00333,0.28571,0.15528,0.06179,1.51174,7.32518,0.54384,2.80259,1.73432,0.000474088,0.000474088,0.000474088
40,82.4405,1.14431,2.98866,0.31722,1.54767,1.05047,0.01,0.85714,0.55991,0.349,0.00333,0.28571,0.15528,0.06179,1.51174,7.32518,0.54384,2.80259,1.73432,0.000478842,0.000478842,0.000478842
41,84.6144,0.89322,3.44492,0.29112,1.59991,1.0362,0.01,0.85714,0.58087,0.36361,0.00417,0.35714,0.1797,0.06223,1.49609,7.29502,0.57777,2.81045,1.71785,0.0004832,0.0004832,0.0004832
42,86.6708,1.20817,3.79082,0.29366,1.84778,1.38115,0.01,0.85714,0.58087,0.36361,0.00417,0.35714,0.1797,0.06223,1.49609,7.29502,0.57777,2.81045,1.71785,0.000487162,0.000487162,0.000487162
43,88.7716,1.09629,3.63323,0.36558,1.49175,1.1431,0.00917,0.78571,0.61302,0.32128,0.00417,0.35714,0.20355,0.03555,1.53663,7.14635,0.58101,2.86493,1.80549,0.000490728,0.000490728,0.000490728
44,90.7811,1.26998,5.18473,0.34353,2.12475,1.30702,0.00917,0.78571,0.61302,0.32128,0.00417,0.35714,0.20355,0.03555,1.53663,7.14635,0.58101,2.86493,1.80549,0.000493898,0.000493898,0.000493898
45,92.8457,0.79568,1.98123,0.27101,1.45445,1.07124,0.00917,0.78571,0.59723,0.31236,0.00417,0.35714,0.16834,0.03298,1.59369,7.19542,0.59633,2.88,1.77181,0.000496672,0.000496672,0.000496672
46,94.8291,0.88457,2.79918,0.32095,1.38303,1.10905,0.00917,0.78571,0.59723,0.31236,0.00417,0.35714,0.16834,0.03298,1.59369,7.19542,0.59633,2.88,1.77181,0.00049905,0.00049905,0.00049905
47,96.8603,0.95745,3.50706,0.27712,1.37427,1.0229,0.01,0.85714,0.50784,0.29772,0.00333,0.28571,0.15356,0.06233,1.59853,7.29676,0.6143,2.87763,1.71621,0.000501032,0.000501032,0.000501032
48,98.9708,0.96165,3.49268,0.30792,1.32484,1.06194,0.01,0.85714,0.50784,0.29772,0.00333,0.28571,0.15356,0.06233,1.59853,7.29676,0.6143,2.87763,1.71621,0.000502618,0.000502618,0.000502618
49,101.091,0.64993,2.65054,0.29307,1.3423,0.95324,0.01083,0.92857,0.42047,0.21847,0.00417,0.35714,0.1557,0.06818,1.72723,7.41923,0.60475,2.87942,1.84065,0.000503808,0.000503808,0.000503808
50,103.09,0.93807,4.45267,0.26422,1.48583,1.11697,0.01083,0.92857,0.42047,0.21847,0.00417,0.35714,0.1557,0.06818,1.72723,7.41923,0.60475,2.87942,1.84065,0.000504602,0.000504602,0.000504602
51,105.137,0.95701,2.60353,0.31603,1.21198,1.01851,0.01,0.85714,0.37638,0.19582,0.00417,0.35714,0.15605,0.08942,1.68858,7.71818,0.64178,2.90047,1.80386,0.000505,0.000505,0.000505
52,107.134,0.72277,2.95904,0.33808,1.27725,0.98175,0.01,0.85714,0.37638,0.19582,0.00417,0.35714,0.15605,0.08942,1.68858,7.71818,0.64178,2.90047,1.80386,0.000505002,0.000505002,0.000505002
53,109.134,0.92533,3.69498,0.25964,1.41578,1.1385,0.01,0.85714,0.37638,0.19582,0.00417,0.35714,0.15605,0.08942,1.68858,7.71818,0.64178,2.90047,1.80386,0.000504608,0.000504608,0.000504608
54,111.164,0.7591,2.464,0.30133,1.37639,1.02386,0.01,0.85714,0.36734,0.16943,0.00417,0.35714,0.15145,0.08193,1.7563,7.66315,0.6594,2.90102,1.85674,0.000503818,0.000503818,0.000503818
55,113.348,1.05501,2.89243,0.31158,1.29137,1.1471,0.01,0.85714,0.36734,0.16943,0.00417,0.35714,0.15145,0.08193,1.7563,7.66315,0.6594,2.90102,1.85674,0.000502632,0.000502632,0.000502632
56,115.391,0.90386,3.85455,0.40039,1.50171,0.98679,0.01,0.85714,0.36734,0.16943,0.00417,0.35714,0.15145,0.08193,1.7563,7.66315,0.6594,2.90102,1.85674,0.00050105,0.00050105,0.00050105
57,117.559,0.87642,2.72363,0.31623,1.155,0.93284,0.00917,0.78571,0.29155,0.13181,0.00417,0.35714,0.15739,0.07671,1.78348,7.58376,0.65874,2.91224,1.84398,0.000499072,0.000499072,0.000499072
58,119.561,0.92507,3.43294,0.35175,1.31556,1.08068,0.00917,0.78571,0.29155,0.13181,0.00417,0.35714,0.15739,0.07671,1.78348,7.58376,0.65874,2.91224,1.84398,0.000496698,0.000496698,0.000496698
59,121.543,0.95563,2.86476,0.30251,1.51688,1.08215,0.00917,0.78571,0.29155,0.13181,0.00417,0.35714,0.15739,0.07671,1.78348,7.58376,0.65874,2.91224,1.84398,0.000493928,0.000493928,0.000493928
60,123.625,1.48021,4.04994,0.27103,1.78635,1.61713,0.01,0.85714,0.41548,0.17156,0.00417,0.35714,0.16218,0.06678,1.8822,7.60689,0.62842,2.92307,1.95998,0.000490762,0.000490762,0.000490762
61,125.668,0.92758,2.59274,0.30903,1.24258,1.08069,0.01,0.85714,0.41548,0.17156,0.00417,0.35714,0.16218,0.06678,1.8822,7.60689,0.62842,2.92307,1.95998,0.0004872,0.0004872,0.0004872
62,127.74,0.80292,2.61287,0.38917,1.21307,1.0486,0.01,0.85714,0.41548,0.17156,0.00417,0.35714,0.16218,0.06678,1.8822,7.60689,0.62842,2.92307,1.95998,0.000483242,0.000483242,0.000483242
63,129.774,1.12551,3.83002,0.42418,1.52407,1.20435,0.00917,0.78571,0.39404,0.1661,0.005,0.42857,0.16591,0.05929,1.94131,7.63295,0.62805,2.96649,2.06069,0.000478888,0.000478888,0.000478888
64,131.826,0.82785,2.84812,0.34676,1.05546,1.0434,0.00917,0.78571,0.39404,0.1661,0.005,0.42857,0.16591,0.05929,1.94131,7.63295,0.62805,2.96649,2.06069,0.000474138,0.000474138,0.000474138
65,133.846,0.99148,3.35364,0.37186,1.22463,0.99091,0.00917,0.78571,0.39404,0.1661,0.005,0.42857,0.16591,0.05929,1.94131,7.63295,0.62805,2.96649,2.06069,0.000468992,0.000468992,0.000468992
66,135.98,0.88519,3.37499,0.31684,1.14834,0.99332,0.00917,0.78571,0.38776,0.1636,0.00417,0.35714,0.16634,0.04657,1.85838,7.69017,0.59957,2.92975,2.03449,0.00046345,0.00046345,0.00046345
67,138.071,0.80106,2.55348,0.26929,1.09502,0.9918,0.00917,0.78571,0.38776,0.1636,0.00417,0.35714,0.16634,0.04657,1.85838,7.69017,0.59957,2.92975,2.03449,0.000457512,0.000457512,0.000457512
68,140.083,0.61558,2.46815,0.34471,1.14182,0.94102,0.00917,0.78571,0.38776,0.1636,0.00417,0.35714,0.16634,0.04657,1.85838,7.69017,0.59957,2.92975,2.03449,0.000451178,0.000451178,0.000451178
69,142.283,0.92404,2.94271,0.29982,1.22383,1.15716,0.01083,0.92857,0.40389,0.19908,0.00417,0.35714,0.15995,0.04679,1.84643,7.77685,0.5596,2.91984,2.06747,0.000444448,0.000444448,0.000444448
70,144.321,1.06365,3.89883,0.37467,1.66858,1.14114,0.01083,0.92857,0.40389,0.19908,0.00417,0.35714,0.15995,0.04679,1.84643,7.77685,0.5596,2.91984,2.06747,0.000437322,0.000437322,0.000437322
71,146.304,0.99613,4.38443,0.40432,1.43953,1.09395,0.01083,0.92857,0.40389,0.19908,0.00417,0.35714,0.15995,0.04679,1.84643,7.77685,0.5596,2.91984,2.06747,0.0004298,0.0004298,0.0004298
72,148.389,0.96675,3.06751,0.35537,1.21995,1.02813,0.01083,0.92857,0.3963,0.20914,0.00417,0.35714,0.16027,0.04703,1.80838,7.8591,0.5202,2.92753,2.01988,0.000421882,0.000421882,0.000421882
